1.00419	0	4294967295
1.0433	4294967295	6700
1.10466	6700	2948
1.36457	2948	3752
2.37777	3752	1072
3.13506	1072	5628
3.28326	5628	3484
3.67092	3484	3216
3.96702	3216	4288
4.36067	4288	5092
4.45223	5092	2680
4.4862	2680	1072
4.87381	1072	4020
4.89741	4020	1340
4.95122	1340	1072
5.15131	1072	2948
5.1941	2948	1340
5.45178	1340	3484
5.55121	3484	2412
5.76075	2412	3216
5.85766	3216	2144
6.03164	2144	2948
6.06152	2948	1072
6.35444	1072	3752
6.71599	3752	4824
7.25973	4824	5896
7.32298	5896	2680
8.13071	2680	7236
8.33178	7236	4556
8.59893	4556	4288
8.9265	4288	4556
8.96898	4556	1876
9.10173	1876	2412
9.12281	2412	1072
9.21498	1072	1608
9.2587	1608	1072
9.63281	1072	4556
9.74325	4556	2680
10.0862	2680	4556
10.1627	4556	2412
10.2184	2412	1340
10.3269	1340	1876
10.7233	1876	4824
10.9225	4824	3752
11.3095	3752	4824
11.3558	4824	2144
11.3712	2144	1072
11.9458	1072	5628
12.7444	5628	7504
12.8671	7504	4020
12.9351	4020	2144
13.2302	2144	4020
13.3114	4020	2412
13.6748	2412	4556
13.7805	4556	2680
13.8321	2680	1340
13.878	1340	1072
14.0372	1072	1608
14.4198	1608	4556
14.4594	4556	1876
14.5019	1876	1072
15.1189	1072	5896
15.353	5896	4288
15.4484	4288	2412
15.7787	2412	3216
15.8171	3216	1340
15.8841	1340	1072
16.0216	1072	1340
16.35	1340	4020
16.4142	4020	2144
16.5914	2144	2948
16.8103	2948	1608
17.1571	1608	4288
17.2279	4288	2144
17.5076	2144	4020
17.5265	4020	1876
17.7253	1876	3216
17.8921	3216	2948
17.9122	2948	1072
18.5368	1072	5896
18.5661	5896	2412
18.8068	2412	3484
19.4726	3484	6432
19.8823	6432	5628
