1.00419	0	5360
1.0093	5360	5896
1.01119	5896	6432
1.01308	6432	6968
1.01497	6968	7504
1.01685	7504	8040
1.01874	8040	8576
1.02063	8576	9112
1.02252	9112	9648
1.02441	9648	10184
1.02629	10184	10720
1.02818	10720	11256
1.03007	11256	11792
1.03196	11792	12328
1.03385	12328	12864
1.03573	12864	13400
1.03762	13400	13936
1.03951	13936	14472
1.0433	14472	13936
1.04424	13936	13894
1.04519	13894	13872
1.04613	13872	13851
1.04708	13851	13829
1.04802	13829	13808
1.04896	13808	13786
1.04991	13786	13765
1.05085	13765	13744
1.0518	13744	13722
1.05274	13722	13701
1.05368	13701	13679
1.05463	13679	13658
1.05557	13658	13379
1.05652	13379	13100
1.05746	13100	12822
1.0584	12822	12543
1.05935	12543	12264
1.06029	12264	11985
1.06124	11985	11707
1.06218	11707	11428
1.06312	11428	11149
1.06407	11149	10871
1.06501	10871	10592
1.06596	10592	10313
1.0669	10313	10034
1.06783	10034	6432
1.06783	6432	7504
1.07727	7504	8040
1.09237	8040	8576
1.10466	8576	8040
1.11222	8040	7772
1.11317	7772	6968
1.11411	6968	6700
1.11506	6700	6432
1.116	6432	6164
1.11694	6164	5896
1.11789	5896	5628
1.11882	5628	5360
1.11976	5360	5092
1.12071	5092	4824
1.12165	4824	4556
1.1226	4556	3752
1.12541	3752	5360
1.13485	5360	5896
1.14618	5896	6432
1.15751	6432	6968
1.16884	6968	7504
1.18205	7504	8040
1.19716	8040	8576
1.21226	8576	9112
1.22737	9112	9648
1.24436	9648	10184
1.26324	10184	10720
1.28212	10720	11256
1.301	11256	11792
1.32177	11792	12328
1.34442	12328	12864
1.36144	12864	12328
1.36333	12328	11792
1.37182	11792	11524
1.37277	11524	11256
1.37371	11256	10988
1.37466	10988	10720
1.3756	10720	10452
1.3775	10452	10184
1.37844	10184	9916
1.37939	9916	9112
1.38033	9112	8844
1.38128	8844	8576
1.38221	8576	8308
1.38315	8308	8040
1.38408	8040	7772
1.38503	7772	7504
1.38597	7504	7236
1.38692	7236	6968
1.38786	6968	6700
1.3888	6700	5896
1.3954	5896	6968
1.40106	6968	7504
1.41428	7504	8040
1.42749	8040	8576
1.4426	8576	9112
1.45959	9112	9648
1.47658	9648	10184
1.49357	10184	10720
1.51245	10720	11256
1.53322	11256	11792
1.55399	11792	12328
1.57476	12328	12864
1.59741	12864	13400
1.62196	13400	13936
1.6465	13936	14472
1.67105	14472	15008
1.69748	15008	15544
1.7258	15544	16080
1.75412	16080	16616
1.78244	16616	17152
1.81265	17152	17688
1.84474	17688	18224
1.87684	18224	18760
1.90893	18760	19296
1.94292	19296	19832
1.97879	19832	20368
2.01466	20368	20904
2.03354	20904	21440
2.05242	21440	21976
2.0713	21976	22512
2.09207	22512	23048
2.10624	23048	22552
2.10719	22552	22591
2.10813	22591	22630
2.10908	22630	22669
2.11002	22669	22709
2.11096	22709	22748
2.11191	22748	22787
2.11285	22787	22826
2.1138	22826	22865
2.11474	22865	22905
2.11568	22905	22944
2.11663	22944	22983
2.11757	22983	23022
2.11852	23022	23062
2.11946	23062	23101
2.1204	23101	23140
2.12135	23140	23179
2.12229	23179	23218
2.12324	23218	23258
2.12418	23258	23297
2.12512	23297	23336
2.12607	23336	23088
2.12701	23088	22839
2.12796	22839	22591
2.1289	22591	22343
2.12984	22343	22094
2.13079	22094	21846
2.13173	21846	21597
2.13268	21597	21349
2.13362	21349	21101
2.13456	21101	20852
2.13551	20852	20604
2.13645	20604	20355
2.1374	20355	20107
2.13834	20107	19859
2.13928	19859	19610
2.14023	19610	19362
2.14117	19362	19113
2.14212	19113	18865
2.14306	18865	18617
2.144	18617	18368
2.14495	18368	18120
2.14588	18120	11792
2.14588	11792	12864
2.14777	12864	13400
2.17042	13400	13936
2.19497	13936	14472
2.2214	14472	15008
2.24783	15008	15544
2.25445	15544	15008
2.2554	15008	14969
2.25634	14969	14949
2.25728	14949	14929
2.25823	14929	14909
2.25917	14909	14889
2.26012	14889	14870
2.26106	14870	14850
2.262	14850	14830
2.26295	14830	14810
2.26389	14810	14790
2.26484	14790	14770
2.26578	14770	14750
2.26672	14750	14731
2.26767	14731	14453
2.26861	14453	14175
2.26956	14175	13897
2.2705	13897	13619
2.27144	13619	13341
2.27239	13341	13063
2.27333	13063	12785
2.27428	12785	12507
2.27522	12507	12229
2.27616	12229	11951
2.27711	11951	11673
2.27805	11673	11395
2.279	11395	11118
2.27994	11118	10840
2.28087	10840	6968
2.28087	6968	8040
2.28842	8040	8576
2.30353	8576	9112
2.32052	9112	9648
2.33751	9648	10184
2.3545	10184	10720
2.37338	10720	11256
2.39415	11256	11792
2.41492	11792	12328
2.43569	12328	12864
2.45834	12864	13400
2.46213	13400	12864
2.46308	12864	12818
2.46402	12818	12795
2.46496	12795	12771
2.46591	12771	12748
2.46781	12748	12725
2.46875	12725	12701
2.4697	12701	12142
2.47064	12142	12119
2.47158	12119	12095
2.47253	12095	12072
2.47347	12072	12049
2.47442	12049	11769
2.47536	11769	11490
2.4763	11490	11210
2.47725	11210	10930
2.47819	10930	10651
2.47914	10651	10371
2.48008	10371	10091
2.48102	10091	9812
2.48197	9812	9532
2.48291	9532	9252
2.48386	9252	8973
2.48479	8973	8693
2.48573	8693	8413
2.48668	8413	8134
2.48762	8134	7854
2.48856	7854	7574
2.48951	7574	7295
2.49044	7295	5896
2.49044	5896	6968
2.50177	6968	7504
2.51498	7504	8040
2.53009	8040	8576
2.54519	8576	9112
2.56029	9112	9648
2.57729	9648	10184
2.59617	10184	10720
2.61505	10720	11256
2.63393	11256	11792
2.64149	11792	11256
2.65093	11256	10988
2.65188	10988	10720
2.65282	10720	10452
2.65376	10452	10184
2.65471	10184	9916
2.65565	9916	9648
2.6566	9648	9380
2.65754	9380	9112
2.65848	9112	8844
2.65943	8844	8576
2.66037	8576	8308
2.6613	8308	5360
2.6613	5360	6432
2.66697	6432	6968
2.67829	6968	7504
2.69151	7504	8040
2.70661	8040	8576
2.72172	8576	9112
2.73682	9112	9648
2.75381	9648	10184
2.77269	10184	10720
2.79157	10720	11256
2.81045	11256	11792
2.83122	11792	12328
2.85388	12328	12864
2.87653	12864	13400
2.89919	13400	13936
2.92373	13936	14472
2.93696	14472	13936
2.93791	13936	13894
2.93885	13894	13872
2.9398	13872	13851
2.94074	13851	13829
2.94168	13829	13808
2.94263	13808	13786
2.94357	13786	13765
2.94452	13765	13744
2.94546	13744	13722
2.9464	13722	13701
2.94735	13701	13679
2.94829	13679	13658
2.94924	13658	13379
2.95018	13379	13100
2.95112	13100	12822
2.95207	12822	12543
2.95301	12543	12264
2.95396	12264	11985
2.9549	11985	11707
2.95584	11707	11428
2.95679	11428	11149
2.95773	11149	10871
2.95868	10871	10592
2.95962	10592	10313
2.96056	10313	10034
2.96149	10034	6432
2.96149	6432	8040
2.9766	8040	8576
2.9917	8576	9112
3.00681	9112	9648
3.0238	9648	10184
3.04268	10184	10720
3.06156	10720	11256
3.08044	11256	11792
3.10121	11792	12328
3.12386	12328	12864
3.14652	12864	13400
3.16917	13400	13936
3.19372	13936	14472
3.22015	14472	15008
3.24658	15008	15544
3.27301	15544	16080
3.30133	16080	16616
3.33061	16616	16080
3.33156	16080	16044
3.3325	16044	16025
3.33344	16025	16007
3.33439	16007	15988
3.33533	15988	15970
3.33628	15970	15951
3.33722	15951	15933
3.33816	15933	15914
3.33911	15914	15896
3.34005	15896	15877
3.341	15877	15859
3.34194	15859	15840
3.34288	15840	15822
3.34383	15822	15803
3.34477	15803	15526
3.34572	15526	15249
3.34666	15249	14972
3.3476	14972	14694
3.34855	14694	14417
3.34949	14417	14140
3.35044	14140	13863
3.35138	13863	13585
3.35232	13585	13308
3.35327	13308	13031
3.35421	13031	12754
3.35516	12754	12476
3.3561	12476	12199
3.35704	12199	11922
3.35799	11922	11645
3.35892	11645	7504
3.35892	7504	9112
3.36269	9112	9648
3.37969	9648	10184
3.39668	10184	10720
3.41556	10720	11256
3.42218	11256	10720
3.42312	10720	10664
3.42407	10664	10636
3.42501	10636	10608
3.42596	10608	10579
3.4269	10579	10551
3.42784	10551	10523
3.42879	10523	10495
3.42973	10495	10467
3.43068	10467	10438
3.43162	10438	10156
3.43256	10156	9874
3.43351	9874	9592
3.43445	9592	9310
3.4354	9310	9028
3.43634	9028	8746
3.43728	8746	8464
3.43823	8464	8182
3.43917	8182	7899
3.44012	7899	7617
3.44105	7617	4824
3.44105	4824	5896
3.44671	5896	6432
3.45333	6432	5896
3.45805	5896	5628
3.459	5628	5360
3.45994	5360	5092
3.46088	5092	4824
3.46183	4824	4556
3.46277	4556	4288
3.4637	4288	2680
3.4637	2680	3752
3.46559	3752	4288
3.47314	4288	4824
3.48069	4824	5360
3.49109	5360	4824
3.49487	4824	4556
3.49581	4556	4288
3.49676	4288	4020
3.4977	4020	3752
3.49864	3752	3484
3.49957	3484	2144
3.49957	2144	3752
3.50335	3752	4288
3.5109	4288	4824
3.52034	4824	5360
3.52978	5360	5896
3.53922	5896	6432
3.55055	6432	6968
3.56377	6968	7504
3.57698	7504	8040
3.5902	8040	8576
3.6053	8576	9112
3.62229	9112	9648
3.63929	9648	10184
3.65628	10184	10720
3.67516	10720	11256
3.69593	11256	11792
3.71669	11792	12328
3.73746	12328	12864
3.76012	12864	13400
3.78279	13400	12864
3.78373	12864	12818
3.78468	12818	12795
3.78562	12795	12771
3.78656	12771	12748
3.78751	12748	12725
3.78845	12725	12701
3.7894	12701	12678
3.79034	12678	12655
3.79128	12655	12631
3.79223	12631	12608
3.79317	12608	12585
3.79412	12585	12305
3.79506	12305	12026
3.796	12026	11746
3.79695	11746	11466
3.79789	11466	11187
3.79884	11187	10907
3.79978	10907	10627
3.80072	10627	10348
3.80167	10348	10068
3.80261	10068	9788
3.80451	9788	9509
3.80544	9509	9229
3.80639	9229	8949
3.80733	8949	8134
3.80828	8134	7854
3.80922	7854	7574
3.81016	7574	7295
3.81111	7295	7015
3.81205	7015	6735
3.813	6735	5896
3.82148	5896	7504
3.83281	7504	8040
3.8385	8040	7504
3.83944	7504	7422
3.84038	7422	6845
3.84133	6845	6804
3.84227	6804	6762
3.84322	6762	6721
3.84416	6721	6680
3.8451	6680	6391
3.84605	6391	6103
3.84699	6103	5814
3.84794	5814	5525
3.84888	5525	5237
3.84982	5237	4948
3.85076	4948	4660
3.85169	4660	3216
3.85169	3216	4288
3.85924	4288	4824
3.86679	4824	5360
3.87623	5360	5896
3.88756	5896	6432
3.89889	6432	6968
3.91021	6968	7504
3.92343	7504	8040
3.93853	8040	8576
3.95364	8576	9112
3.96874	9112	9648
3.98573	9648	10184
4.00274	10184	9648
4.00368	9648	9585
4.00463	9585	9554
4.00557	9554	9522
4.00652	9522	9491
4.00842	9491	9459
4.00936	9459	9428
4.0103	9428	8860
4.01125	8860	8829
4.01219	8829	8545
4.01314	8545	8261
4.01408	8261	7977
4.01502	7977	7694
4.01597	7694	7410
4.01691	7410	7126
4.01786	7126	6842
4.0188	6842	6559
4.01973	6559	6275
4.02068	6275	5991
4.02162	5991	5707
4.02256	5707	5424
4.02351	5424	5140
4.02445	5140	4288
4.02538	4288	5896
4.03105	5896	6432
4.04333	6432	5896
4.04805	5896	5628
4.049	5628	5360
4.04994	5360	5092
4.05088	5092	4824
4.05183	4824	4556
4.05277	4556	4288
4.0537	4288	2680
4.0537	2680	4288
4.05748	4288	4824
4.06692	4824	5360
4.07636	5360	5896
4.0858	5896	6432
4.09713	6432	6968
4.11034	6968	7504
4.12356	7504	8040
4.13677	8040	8576
4.15188	8576	9112
4.16887	9112	9648
4.18586	9648	10184
4.20285	10184	10720
4.22173	10720	11256
4.2425	11256	11792
4.26327	11792	12328
4.27839	12328	11792
4.27933	11792	11741
4.28028	11741	11716
4.28122	11716	11690
4.28216	11690	11665
4.28311	11665	11639
4.28405	11639	11614
4.285	11614	11588
4.28594	11588	11563
4.28688	11563	11537
4.28783	11537	11512
4.28877	11512	11231
4.28972	11231	10950
4.29066	10950	10669
4.2916	10669	10389
4.29255	10389	10108
4.29349	10108	9827
4.29444	9827	9546
4.29538	9546	9266
4.29632	9266	8985
4.29727	8985	8704
4.29821	8704	8423
4.29914	8423	5360
4.29914	5360	6968
4.30669	6968	7504
4.31991	7504	8040
4.33501	8040	8576
4.35012	8576	9112
4.36522	9112	9648
4.37751	9648	9112
4.38506	9112	8844
4.386	8844	8576
4.38695	8576	8308
4.38789	8308	8040
4.38884	8040	7772
4.38978	7772	7504
4.39072	7504	7236
4.39167	7236	6968
4.39261	6968	6700
4.39354	6700	4288
4.39354	4288	5896
4.40298	5896	6432
4.41431	6432	6968
4.42753	6968	7504
4.44074	7504	8040
4.45396	8040	8576
4.46906	8576	9112
4.48605	9112	9648
4.50305	9648	10184
4.52004	10184	10720
4.53892	10720	11256
4.55969	11256	11792
4.58141	11792	11256
4.59085	11256	10988
4.5918	10988	10720
4.59274	10720	10452
4.59368	10452	10184
4.59463	10184	9916
4.59557	9916	9648
4.59652	9648	9380
4.59746	9380	9112
4.5984	9112	8844
4.59935	8844	8576
4.60029	8576	8308
4.60122	8308	5360
4.60122	5360	6968
4.605	6968	7504
4.61821	7504	8040
4.63143	8040	8576
4.64653	8576	9112
4.66353	9112	9648
4.6777	9648	9112
4.68525	9112	8844
4.6862	8844	8576
4.68714	8576	8308
4.68808	8308	8040
4.68903	8040	7772
4.68997	7772	7504
4.69092	7504	7236
4.69186	7236	6968
4.6928	6968	6700
4.69373	6700	4288
4.69373	4288	5896
4.70129	5896	6432
4.71261	6432	6968
4.72394	6968	7504
4.73716	7504	8040
4.75226	8040	8576
4.76737	8576	9112
4.78247	9112	9648
4.79946	9648	10184
4.81834	10184	10720
4.83722	10720	11256
4.84384	11256	10720
4.84479	10720	10664
4.84573	10664	10636
4.84668	10636	10608
4.84762	10608	10579
4.84856	10579	10551
4.84951	10551	10523
4.85045	10523	10495
4.8514	10495	10467
4.85234	10467	10438
4.85328	10438	10156
4.85423	10156	9874
4.85517	9874	9592
4.85612	9592	9310
4.85706	9310	9028
4.858	9028	8746
4.85895	8746	8464
4.85989	8464	8182
4.86084	8182	7899
4.86178	7899	7617
4.86271	7617	4824
4.86271	4824	5896
4.86649	5896	6432
4.87216	6432	5896
4.87784	5896	5628
4.87878	5628	4824
4.87973	4824	4556
4.88067	4556	4288
4.88162	4288	4020
4.88255	4020	3752
4.88349	3752	3484
4.88444	3484	2680
4.88725	2680	3752
4.89324	3752	4288
4.90079	4288	4824
4.90835	4824	5360
4.91779	5360	5896
4.92911	5896	6432
